mensa_id,date,meal_id,name,category,price_student,notes
Mo's Diner,2012-08-20,66821,"Pfannkuchen ""Italia"" mit Sauce hollandaise dazu Beilage",Tagesgericht,,[]
Mo's Diner,2012-08-20,66820,Rinderschmorbraten in Rotweinsauce,Menü 3,,[]
Mo's Diner,2012-08-21,66823,Spinat-Käseknödel mit Tomatensauce und Reis dazu gemischter Salat,Tagesgericht,,[]
Mo's Diner,2012-08-21,66822,Gyros aus der Pfanne mit Tzatziki,Menü,,[]
Mo's Diner,2012-08-22,66825,Asiatische Gemüsepfanne mit Sojawürfeln und Glasnudeln,Menü vegetarisch,,[]
Mo's Diner,2012-08-22,66824,Gebackene Hähnchenschnitte mit Tomaten-Thymiansauce,Menü 3,,[]
Mo's Diner,2012-08-23,66827,Frühlingsrolle mit Gemüsefüllung dazu Tomatensauce,Menü vegetarisch,,[]
Mo's Diner,2012-08-23,66826,Halbes Hähnchen vom Grill,Menü 3,,[]
Mo's Diner,2012-08-24,66829,Bunte Paprikapfanne mit Bambussprossen und Dinkel,Menü vegetarisch,,[]
Mo's Diner,2012-08-24,66828,Fischfilet mit Remouladensauce,Menü 3,,[]
Mo's Diner,2012-08-27,165011,"Chinaschnitte ""Nan Jing"" an Asiasauce",Tagesgericht,,[]
Mo's Diner,2012-08-27,165010,Schweinerückensteak mit Senfsauce,Menü,,[]
Mo's Diner,2012-08-28,165013,Gefüllte Zucchinischiffchen mit Tomatensauce,Menü vegetarisch,,[]
Mo's Diner,2012-08-28,165012,Rinderragout mit Pilzen,Menü,,[]
Mo's Diner,2012-08-29,165015,Spaghetti mit Petersilienpesto dazu Salat und ein Stück Obst,Tagesgericht,,[]
Mo's Diner,2012-08-29,165014,Gebratene Putenbrust mit Rahmsauce,Menü 3,,[]
Mo's Diner,2012-08-30,94305,Austernpilzpfanne mit Schupfnundeln dazu Kräuterdipp (vegan),Menü vegetarisch,,[]
Mo's Diner,2012-08-30,165016,Currywurst mit Tomatensauce und Pommes-frites dazu Salatbeilage,Tagesgericht,,[]
Mo's Diner,2012-08-31,165018,Vegetarische Frühlingsrolle und Tomatensauce mit Beilage,Tagesgericht,,[]
Mo's Diner,2012-08-31,165017,Gebackenes Seelachsfilet mit Remouladensauce,Menü 3,,[]
Mo's Diner,2012-09-03,172585,Asiatische Pilzpfanne mit Glasnudeln und Sojawürfeln,Menü vegetarisch,2.85,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mo's Diner,2012-09-03,172584,"Geröstete Putenbruststreifen ""türkische Art"" mit Chilisauce",Menü,2.85,[]
Mo's Diner,2012-09-04,172587,Hetax-Käse paniert mit Joghurtdipp,Menü vegetarisch,2.35,[]
Mo's Diner,2012-09-04,172586,"Rinderhacksteak ""Spanische Art"" mit Oliven und Tomaten",Menü 3,2.55,[]
Mo's Diner,2012-09-05,172589,Geräuchertes Tofusteak aus Asiadipp,Menü vegetarisch,2.95,[]
Mo's Diner,2012-09-05,172588,Paniertes Hähnchenschnitzel auf Kräutersauce,Menü 3,2.95,[]
Mo's Diner,2012-09-06,172591,Gemüse-Lasagne mit Sahnesauce,Menü vegetarisch,2.45,[]
Mo's Diner,2012-09-06,172590,"Hähnchenkeule mit Sauce, Pommes frites und Salat Currysoße",Tagesgericht,2.05,[]
Mo's Diner,2012-09-07,172593,Gemüsepfanne mit Schnupfnudeln und Getreide dazu grüne Sauce,Menü vegetarisch,2.55,['mit  Antioxidationsmittel']
Mo's Diner,2012-09-07,172592,2 Fischfrikadellen mit Kartoffelsalat und Obst dazu Remouladensauce,Tagesgericht,1.95,"['mit Konservierungsstoff', 'mit Süßungsmittel']"
Mo's Diner,2012-09-10,192833,Getreide-Goreng mit kalter Chilisauce,Menü vegetarisch,2.3,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mo's Diner,2012-09-10,192832,Putenbraten in Rahmsauce,Menü 3,2.7,[]
Mo's Diner,2012-09-11,192835,Panierter Hetax-Käse mit Kräuterdipp,Tagesgericht,2.55,[]
Mo's Diner,2012-09-11,192834,Gegrilltes Hähnchenbrustfilet dazu Kokos-Currysauce,Menü,2.95,[]
Mo's Diner,2012-09-12,192837,Gnocchi mit Pestofüllung und Tomatensauce dazu Salatbeilage und ein Stück Obst,Menü 3,2.65,[]
Mo's Diner,2012-09-12,192836,Rindergeschnetzeltes mit Paprika- und Zucchinistreifen,Menü,3.0,[]
Mo's Diner,2012-09-13,192839,2 Spinat-Getreideklöße auf Tomatensauce,Menü vegetarisch,2.45,[]
Mo's Diner,2012-09-13,192838,Gegrilltes Schweinerückensteak mit Zwiebeln und Pilzen,Menü,2.95,['mit Schweinefleisch']
Mo's Diner,2012-09-14,192841,Kartoffel Cordon bleu mit Vollkornsauce,Menü vegetarisch,2.45,[]
Mo's Diner,2012-09-14,192840,Fischfilet im Backteig dazu Tomatensauce,Menü 3,3.05,[]
Mo's Diner,2012-09-17,214857,Kartoffelauflauf Moussaka mit kalter Kräutersauce,Menü vegetarisch,2.25,[]
Mo's Diner,2012-09-17,214856,"Mediterrane Putenpfanne mit Tomaten, Oliven und Zucchini",Menü,2.1,[]
Mo's Diner,2012-09-18,214859,Blumenkohl-Nrokkoli-Auflauf mit Sauce hollandaise überbacken,Menü vegetarisch,2.65,['mit Farbstoff']
Mo's Diner,2012-09-18,214858,Hühnerragout in einer Blätterteigpastete mit Reis und Salat,Tagesgericht,2.35,"['mit Alkohol', 'mit Farbstoff']"
Mo's Diner,2012-09-19,214861,Eierpfannkuchen mit Gemüsefüllung und kalter Currysauce,Menü vegetarisch,2.45,[]
Mo's Diner,2012-09-19,214860,Hähnchenkeule in Rotweinsauce,Menü,2.35,['mit Alkohol']
Mo's Diner,2012-09-20,214863,Hausgemachter Getreidebratling mit Zucchini und Auberginen,Menü vegetarisch,2.85,[]
Mo's Diner,2012-09-20,214862,Hausgemachte Frikadelle mit Käse und Tomate überbacken dazu Pommes-frites und gemischter Salat,Tagesgericht,1.95,['mit Schweinefleisch']
Mo's Diner,2012-09-21,214865,Gemüsepfanne aus dem Mittelmeerraum mit Joghurtdipp,Menü vegetarisch,2.35,[]
Mo's Diner,2012-09-21,214864,Frankfurter Würstchen mit Kartoffelsalat und Fruchtkompott,Tagesgericht,1.95,"['mit Konservierungsstoff', 'mit Schweinefleisch', 'mit  Antioxidationsmittel', 'mit Süßungsmittel']"
Mo's Diner,2012-09-24,232959,Couscous mit Ratatouillegemüse und Schafskäse dazu Joghurtdipp,Menü vegetarisch,2.4,[]
Mo's Diner,2012-09-24,232958,Rinderschmorbraten mit Oliven und Tomaten dazu Rotweinsauce,Menü 3,2.95,['mit Alkohol']
